date,gold_price_ln,real_10y_yield
2003-01-01,5.88,2.06
2003-04-01,5.87,1.87
2003-07-01,5.89,2.11
2003-10-01,5.95,1.93
2004-01-01,6.03,1.70
2004-04-01,6.01,1.84
2004-07-01,6.00,1.95
2004-10-01,6.05,1.65
2005-01-01,6.05,1.60
2005-04-01,6.06,1.68
2005-07-01,6.06,1.80
2005-10-01,6.13,2.08
2006-01-01,6.15,2.00
2006-04-01,6.21,2.22
2006-07-01,6.19,2.30
2006-10-01,6.17,2.20
2007-01-01,6.21,2.28
2007-04-01,6.23,2.32
2007-07-01,6.22,2.40
2007-10-01,6.34,2.05
2008-01-01,6.47,1.53
2008-04-01,6.50,1.32
2008-07-01,6.49,1.59
2008-10-01,6.38,2.62
2009-01-01,6.42,1.80
2009-04-01,6.46,1.73
2009-07-01,6.47,1.71
2009-10-01,6.57,1.47
2010-01-01,6.60,1.34
2010-04-01,6.63,1.49
2010-07-01,6.69,1.17
2010-10-01,6.82,0.60
2011-01-01,6.84,0.97
2011-04-01,6.89,0.78
2011-07-01,7.01,0.45
2011-10-01,7.08,0.15
2012-01-01,7.06,-0.07
2012-04-01,7.04,-0.14
2012-07-01,7.02,-0.46
2012-10-01,7.08,-0.72
2013-01-01,7.06,-0.53
2013-04-01,6.95,-0.26
2013-07-01,6.89,0.34
2013-10-01,6.88,0.52
2014-01-01,6.87,0.35
2014-04-01,6.86,0.32
2014-07-01,6.86,0.25
2014-10-01,6.78,0.39
2015-01-01,6.79,0.18
2015-04-01,6.77,0.14
2015-07-01,6.74,0.48
2015-10-01,6.74,0.53
2016-01-01,6.75,0.56
2016-04-01,6.82,0.20
2016-07-01,6.87,-0.02
2016-10-01,6.84,0.33
2017-01-01,6.80,0.47
2017-04-01,6.83,0.40
2017-07-01,6.84,0.43
2017-10-01,6.85,0.47
2018-01-01,6.89,0.60
2018-04-01,6.88,0.72
2018-07-01,6.81,0.77
2018-10-01,6.81,1.05
2019-01-01,6.85,0.90
2019-04-01,6.85,0.60
2019-07-01,6.93,0.32
2019-10-01,7.01,0.10
2020-01-01,7.05,0.00
2020-04-01,7.09,-0.42
2020-07-01,7.16,-0.86
2020-10-01,7.22,-0.94
2021-01-01,7.22,-1.04
2021-04-01,7.20,-0.76
2021-07-01,7.19,-1.02
2021-10-01,7.17,-1.06
2022-01-01,7.21,-0.63
2022-04-01,7.24,0.00
2022-07-01,7.16,0.56
2022-10-01,7.12,1.53
2023-01-01,7.22,1.38
2023-04-01,7.24,1.24
2023-07-01,7.27,1.62
2023-10-01,7.27,2.25
2024-01-01,7.32,1.78
2024-04-01,7.42,2.09
2024-07-01,7.47,2.03
2024-10-01,7.55,1.88
2025-01-01,7.57,2.10
2025-04-01,7.78,1.85
2025-07-01,7.90,1.92
2025-10-01,8.01,1.98
2026-01-01,8.41,1.90
