date,japan_10y,uk_10y,jpyusd,gbpusd
2012-01,0.96,2.11,76.96,1.55
2012-02,0.96,2.22,78.47,1.58
2012-03,0.97,2.32,82.47,1.58
2012-04,0.91,2.21,81.25,1.60
2012-05,0.85,1.94,79.67,1.59
2012-06,0.79,1.77,79.32,1.56
2012-07,0.78,1.65,78.93,1.56
2012-08,0.80,1.67,78.69,1.57
2012-09,0.76,1.72,78.14,1.61
2012-10,0.76,1.77,79.01,1.61
2012-11,0.71,1.77,81.03,1.60
2012-12,0.78,1.85,83.79,1.61
2013-01,0.78,2.08,89.06,1.60
2013-02,0.67,2.18,93.00,1.55
2013-03,0.49,1.98,94.77,1.51
2013-04,0.59,1.78,97.76,1.53
2013-05,0.88,1.95,100.92,1.53
2013-06,0.82,2.31,97.24,1.55
2013-07,0.79,2.47,99.67,1.52
2013-08,0.71,2.71,97.81,1.55
2013-09,0.67,2.84,99.21,1.59
2013-10,0.59,2.68,97.77,1.61
2013-11,0.61,2.76,100.07,1.61
2013-12,0.69,2.95,103.46,1.64
2014-01,0.61,2.91,103.76,1.65
2014-02,0.59,2.81,102.13,1.66
2014-03,0.61,2.78,102.34,1.66
2014-04,0.61,2.74,102.46,1.67
2014-05,0.57,2.70,101.77,1.68
2014-06,0.54,2.78,102.06,1.69
2014-07,0.53,2.73,101.74,1.71
2014-08,0.49,2.53,102.94,1.67
2014-09,0.50,2.49,107.43,1.63
2014-10,0.47,2.25,108.03,1.61
2014-11,0.42,2.16,116.30,1.58
2014-12,0.33,1.93,119.32,1.56
2015-01,0.28,1.59,118.25,1.51
2015-02,0.33,1.74,118.76,1.53
2015-03,0.40,1.79,120.39,1.50
2015-04,0.34,1.76,119.51,1.50
2015-05,0.39,2.02,120.80,1.55
2015-06,0.46,2.17,123.72,1.56
2015-07,0.41,2.14,123.31,1.56
2015-08,0.38,1.98,123.00,1.56
2015-09,0.35,1.88,120.15,1.53
2015-10,0.30,1.85,120.05,1.53
2015-11,0.30,1.98,122.64,1.52
2015-12,0.27,1.92,121.64,1.50
2016-01,0.10,1.78,118.23,1.44
2016-02,-0.07,1.50,114.62,1.43
2016-03,-0.05,1.54,112.93,1.42
2016-04,-0.09,1.57,109.55,1.43
2016-05,-0.12,1.54,108.85,1.45
2016-06,-0.23,1.31,105.35,1.42
2016-07,-0.20,0.96,104.19,1.31
2016-08,-0.07,0.74,101.24,1.31
2016-09,-0.09,0.82,101.78,1.31
2016-10,-0.05,1.08,103.91,1.23
2016-11,0.02,1.38,108.44,1.24
2016-12,0.04,1.43,116.00,1.25
2017-01,0.09,1.42,114.87,1.24
2017-02,0.05,1.31,112.91,1.25
2017-03,0.07,1.19,112.92,1.23
2017-04,0.02,1.08,110.09,1.26
2017-05,0.04,1.12,112.24,1.29
2017-06,0.08,1.08,110.91,1.28
2017-07,0.08,1.27,112.42,1.30
2017-08,0.01,1.12,109.83,1.30
2017-09,0.06,1.24,110.78,1.33
2017-10,0.07,1.38,112.91,1.32
2017-11,0.04,1.33,112.82,1.32
2017-12,0.05,1.28,112.94,1.34
2018-01,0.08,1.39,110.87,1.38
2018-02,0.05,1.60,107.97,1.40
2018-03,0.05,1.51,106.05,1.40
2018-04,0.05,1.51,107.66,1.41
2018-05,0.03,1.50,109.69,1.35
2018-06,0.03,1.42,110.06,1.33
2018-07,0.06,1.37,111.52,1.32
2018-08,0.11,1.40,111.00,1.29
2018-09,0.13,1.50,112.10,1.31
2018-10,0.13,1.55,112.72,1.30
2018-11,0.09,1.45,113.34,1.29
2018-12,-0.01,1.31,112.20,1.27
2019-01,0.00,1.32,108.96,1.29
2019-02,-0.02,1.24,110.44,1.30
2019-03,-0.10,1.19,111.14,1.32
2019-04,-0.05,1.19,111.64,1.30
2019-05,-0.10,1.13,109.97,1.29
2019-06,-0.17,0.92,108.07,1.27
2019-07,-0.16,0.83,108.29,1.25
2019-08,-0.28,0.58,106.19,1.22
2019-09,-0.22,0.60,107.54,1.24
2019-10,-0.15,0.64,108.14,1.27
2019-11,-0.08,0.77,108.86,1.29
2019-12,-0.03,0.83,109.10,1.31
2020-01,-0.07,0.72,109.27,1.31
2020-02,-0.16,0.63,110.03,1.30
2020-03,0.01,0.46,107.67,1.24
2020-04,-0.04,0.36,107.74,1.24
2020-05,0.00,0.27,107.20,1.23
2020-06,0.03,0.28,107.58,1.25
2020-07,0.01,0.21,106.68,1.27
2020-08,0.05,0.27,106.01,1.31
2020-09,0.02,0.27,105.59,1.29
2020-10,0.04,0.31,105.21,1.30
2020-11,0.03,0.38,104.41,1.32
2020-12,0.02,0.32,103.80,1.34
2021-01,0.06,0.37,103.79,1.36
2021-02,0.15,0.62,105.38,1.39
2021-03,0.12,0.85,108.70,1.39
2021-04,0.09,0.85,109.04,1.38
2021-05,0.08,0.91,109.11,1.41
2021-06,0.05,0.85,110.11,1.40
2021-07,0.02,0.70,110.21,1.38
2021-08,0.02,0.64,109.85,1.38
2021-09,0.07,0.80,110.16,1.37
2021-10,0.10,1.08,113.12,1.37
2021-11,0.05,0.94,113.97,1.35
2021-12,0.07,0.84,113.83,1.33
2022-01,0.17,1.21,114.83,1.36
2022-02,0.18,1.49,115.28,1.35
2022-03,0.21,1.55,118.58,1.32
2022-04,0.22,1.84,126.37,1.29
2022-05,0.24,1.91,128.85,1.24
2022-06,0.23,2.38,133.96,1.23
2022-07,0.18,2.15,136.71,1.20
2022-08,0.22,2.33,135.28,1.20
2022-09,0.24,3.50,143.28,1.13
2022-10,0.25,4.11,147.05,1.13
2022-11,0.25,3.42,142.45,1.17
2022-12,0.41,3.50,134.91,1.22
2023-01,0.49,3.51,130.45,1.22
2023-02,0.50,3.56,133.05,1.21
2023-03,0.32,3.56,133.66,1.21
2023-04,0.39,3.65,133.47,1.24
2023-05,0.43,3.96,137.05,1.25
2023-06,0.40,4.37,141.36,1.26
2023-07,0.60,4.44,140.94,1.29
2023-08,0.64,4.53,144.78,1.27
2023-09,0.77,4.42,147.85,1.24
2023-10,0.95,4.57,149.59,1.22
2023-11,0.66,4.27,149.68,1.24
2023-12,0.62,3.86,143.98,1.27
2024-01,0.73,3.93,146.29,1.27
2024-02,0.71,4.12,149.62,1.26
2024-03,0.73,4.03,149.82,1.27
2024-04,0.87,4.22,153.89,1.25
2024-05,1.07,4.22,155.87,1.26
2024-06,1.05,4.16,157.86,1.27
2024-07,1.05,4.14,157.52,1.29
2024-08,0.89,3.94,146.26,1.29
2024-09,0.86,3.91,142.95,1.32
2024-10,0.94,4.20,149.89,1.30
2024-11,1.05,4.42,153.71,1.27
2024-12,1.09,4.43,153.81,1.26
2025-01,1.25,4.66,156.48,1.24
2025-02,1.37,4.51,151.57,1.25
2025-03,1.49,4.64,149.06,1.29
2025-04,1.31,4.58,144.13,1.31
2025-05,1.50,4.60,144.88,1.34
2025-06,1.42,4.52,144.48,1.36
2025-07,1.55,4.59,147.20,1.35
2025-08,1.60,4.64,147.48,1.35
2025-09,1.65,4.69,147.86,1.35
2025-10,1.66,4.57,151.35,1.34
2025-11,1.81,4.50,155.14,1.31
2025-12,2.06,4.48,155.92,1.34
2026-01,2.21,4.48,156.65,1.35
