date,silver,copper,uranium,silver_idx,copper_idx,uranium_idx
2021-02-01,26.402000,4.094500,28.662500,100.000000,100.000000,100.000000
2021-03-01,24.517000,4.003000,28.334783,92.860389,97.765288,98.856634
2021-04-01,25.853001,4.479000,29.752273,97.920613,109.390646,103.802085
2021-05-01,27.993000,4.682500,30.257143,106.026057,114.360723,105.563516
2021-06-01,26.165001,4.296500,32.142105,99.102343,104.933451,112.139922
2021-07-01,25.528000,4.480500,32.338636,96.689643,109.427284,112.825596
2021-08-01,23.959999,4.360000,32.147727,90.750696,106.484310,112.159537
2021-09-01,22.021000,4.090000,45.078125,83.406558,99.890099,157.272133
2021-10-01,23.945000,4.375500,38.476190,90.693884,106.862868,134.238781
2021-11-01,22.764999,4.278000,31.099584,86.224525,104.481617,108.502692
2021-12-01,23.327999,4.455000,36.129303,88.356938,108.804490,126.050774
2022-01-01,22.395000,4.318000,36.872921,84.823120,105.458536,128.645168
2022-02-01,24.361000,4.444500,35.831914,92.269524,108.548050,125.013220
2022-03-01,25.121000,4.743000,45.514701,95.148094,115.838319,158.795294
2022-04-01,23.040001,4.395000,48.704731,87.266118,107.339111,169.924923
2022-05-01,21.650999,4.295000,40.891626,82.005146,104.896813,142.665945
2022-06-01,20.282000,3.714500,40.331517,76.819935,90.719255,140.711792
2022-07-01,20.156000,3.584000,38.939159,76.342701,87.532057,135.854022
2022-08-01,17.761999,3.518500,39.802308,67.275202,85.932349,138.865445
2022-09-01,18.959999,3.442000,40.950392,71.812737,84.063985,142.870971
2022-10-01,19.125000,3.413500,41.303597,72.437693,83.367933,144.103261
2022-11-01,21.549999,3.729500,40.954065,81.622600,91.085603,142.883785
2022-12-01,23.862000,3.805500,39.178244,90.379513,92.941750,136.688160
2023-01-01,23.747999,4.228500,40.063400,89.947727,103.272679,139.776362
2023-02-01,20.961000,4.097500,41.314371,79.391713,100.073264,144.140849
2023-03-01,24.076000,4.104500,40.741523,91.190061,100.244224,142.142252
2023-04-01,24.999001,3.870000,41.762017,94.686009,94.517031,145.702634
2023-05-01,23.474001,3.631000,43.462666,88.909933,88.679936,151.635992
2023-06-01,22.809999,3.741000,45.700483,86.394967,91.366464,159.443465
2023-07-01,24.854000,3.994500,45.247534,94.136807,97.557696,157.863180
2023-08-01,24.472000,3.772500,46.377181,92.689947,92.135791,161.804382
2023-09-01,22.236000,3.726000,53.202742,84.220891,91.000122,185.617942
2023-10-01,22.841000,3.641500,57.646413,86.512383,88.936377,201.121373
2023-11-01,25.292999,3.829000,62.285952,95.799556,93.515690,217.308162
2023-12-01,23.853001,3.880500,70.059705,90.345429,94.773477,244.429846
2024-01-01,23.051001,3.902500,80.363458,87.307781,95.310779,280.378398
2024-02-01,22.666000,3.834500,81.318201,85.849557,93.650019,283.709378
2024-03-01,24.797001,4.003500,71.814275,93.920917,97.777504,250.551331
2024-04-01,26.391001,4.564500,71.638853,99.958338,111.478808,249.939305
2024-05-01,30.297001,4.610000,73.950191,114.752672,112.590061,258.003283
2024-06-01,29.237000,4.390500,69.187229,110.737819,107.229210,241.385883
2024-07-01,28.778000,4.160000,68.251851,108.999316,101.599702,238.122463
2024-08-01,28.731001,4.145000,65.288503,108.821303,101.233360,227.783701
2024-09-01,31.164000,4.496000,64.630539,118.036509,109.805831,225.488144
2024-10-01,32.653000,4.313500,66.511082,123.676234,105.348635,232.049130
2024-11-01,30.684999,4.080500,63.158778,116.222252,99.658079,220.353345
2024-12-01,28.940001,3.986000,60.219976,109.612908,97.350104,210.100223
2025-01-01,32.127998,4.262000,58.959552,121.687743,104.090854,205.702753
2025-02-01,31.219000,4.514500,54.315510,118.244828,110.257664,189.500252
2025-03-01,34.457001,5.020000,51.834870,130.509053,122.603490,180.845599
2025-04-01,32.530998,4.560000,52.685134,123.214142,111.368906,183.812067
2025-05-01,32.891998,4.652500,57.305573,124.581463,113.628040,199.932223
2025-06-01,35.852001,5.030000,59.576529,135.792745,122.847726,207.855312
2025-07-01,36.551998,4.330500,58.947255,138.444048,105.763831,205.659853
2025-08-01,40.200001,4.518500,58.966662,152.261193,110.355349,205.727559
2025-09-01,46.252998,4.805000,62.875444,175.187477,117.352540,219.364828
2025-10-01,47.993999,5.065500,63.958773,181.781678,123.714732,223.144434
2025-11-01,56.445999,5.185500,62.240225,213.794403,126.645502,217.148626
2025-12-01,70.134003,5.630000,63.514519,265.638973,137.501527,221.594483
2026-01-01,78.290001,5.897000,,296.530565,144.022463,
2026-02-01,79.050003,5.878000,,299.409142,143.558424,
