year,hospital_services,college_tuition,college_textbooks,childcare,medical_care,avg_hourly_wages,housing,food_beverages,overall_cpi,new_cars,household_furnishings,clothing,cellphone_services,computer_software,toys,tvs
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,6.7,4.7,7.8,5.6,5.1,4.2,3.2,3.1,3.9,0.3,0.1,-1.1,-15.4,-8.9,-4.4,-2.0
2002,15.1,11.5,15.4,11.3,10.3,7.8,7.3,6.1,5.2,-0.4,0.1,-5.0,-17.2,-11.9,-7.5,-8.0
2003,26.2,19.8,23.3,17.2,16.0,11.4,10.6,7.3,8.0,-2.7,0.0,-6.8,-17.1,-18.8,-17.5,-16.0
2004,34.2,32.4,29.5,22.0,21.1,13.6,12.8,11.3,10.2,-3.9,-0.1,-8.6,-18.8,-27.1,-21.6,-22.0
2005,41.5,43.1,33.2,26.5,27.3,16.6,15.7,14.6,13.6,-2.6,-0.1,-8.4,-20.1,-30.6,-25.7,-28.0
2006,49.1,52.9,41.3,35.0,32.5,20.6,18.7,17.8,18.3,-3.0,-0.0,-9.3,-21.0,-33.8,-29.1,-35.0
2007,58.8,63.3,51.4,41.2,39.1,25.7,23.6,20.7,20.9,-4.2,0.0,-8.4,-21.0,-38.0,-32.5,-40.0
2008,72.9,73.8,63.9,47.8,47.1,30.7,27.3,26.9,26.3,-4.8,-0.0,-8.6,-21.7,-41.6,-36.3,-46.0
2009,83.0,84.1,76.2,54.6,51.6,35.7,29.6,33.8,26.3,-7.5,0.1,-9.4,-21.3,-42.1,-40.1,-52.0
2010,96.9,95.0,89.1,58.4,56.9,39.5,29.4,33.5,29.8,-3.4,0.0,-7.9,-22.9,-43.7,-43.5,-58.0
2011,111.0,103.9,97.9,64.5,61.6,43.0,30.2,36.0,32.0,-3.3,-0.2,-7.9,-26.3,-49.4,-46.2,-63.0
2012,123.3,115.4,108.3,68.6,67.7,45.0,32.7,42.0,36.0,0.1,-0.1,-3.7,-27.1,-50.3,-48.7,-68.0
2013,133.9,125.3,124.9,73.5,73.9,47.6,35.6,44.3,38.2,1.9,-0.1,-1.7,-27.9,-54.1,-51.4,-72.0
2014,145.2,133.3,131.2,76.1,78.4,51.1,39.0,45.9,40.5,1.9,-0.2,-2.0,-29.5,-56.9,-54.5,-76.0
2015,155.9,142.0,148.4,81.7,82.4,54.3,43.0,50.6,40.4,2.4,-0.3,-3.3,-32.8,-57.7,-56.9,-79.0
2016,167.7,149.5,159.6,88.8,88.5,58.2,47.5,52.0,42.4,3.1,-0.3,-3.8,-32.5,-58.2,-60.0,-82.0
2017,179.2,154.8,171.7,95.1,95.4,62.1,52.6,51.8,46.1,4.1,-0.4,-2.9,-35.6,-61.4,-63.5,-85.0
2018,196.2,160.4,169.9,97.8,99.4,66.2,57.4,54.4,49.2,2.7,-0.4,-3.5,-42.8,-61.2,-67.1,-88.0
2019,203.1,168.1,168.1,102.1,104.3,72.2,62.3,57.0,51.6,2.8,-0.2,-3.4,-44.8,-63.9,-69.6,-90.0
2020,214.8,173.4,168.4,108.9,114.9,78.2,67.6,59.8,55.5,2.9,-0.2,-4.6,-44.9,-67.7,-71.8,-91.0
2021,223.5,174.6,168.9,113.4,121.2,87.8,70.3,66.0,57.7,4.5,0.0,-7.0,-42.4,-69.3,-73.0,-92.0
2022,235.3,179.9,171.2,119.3,127.3,101.2,77.6,77.4,69.9,18.0,0.8,-2.1,-42.7,-69.9,-72.4,-93.0
2023,247.5,186.5,173.5,132.7,134.1,112.0,91.3,95.5,81.1,25.3,1.3,0.8,-41.8,-70.7,-72.4,-94.5
2024,270.7,190.1,175.8,143.9,135.6,122.0,102.6,100.7,86.8,26.2,1.4,0.9,-43.8,-73.1,-73.5,-96.0
2025,281.4,196.7,176.9,158.8,142.0,131.1,111.4,105.7,92.6,25.8,1.4,1.3,-44.1,-73.0,-74.2,-98.1
